From	Entry	Reviewed	Entry Name	Protein names
SCN7A_RAT	F1LQQ7	reviewed	SCN7A_RAT	Sodium channel protein type 7 subunit alpha (Glial sodium channel alpha subunit) (Na-G) (Nax channel) (Voltage-gated sodium channel-like protein) (SCL-11)
EST6_DROME	P08171	reviewed	EST6_DROME	Esterase-6 (Est-6) (EC 3.1.1.1) (Carboxylic-ester hydrolase 6) (Carboxylesterase-6)
TEEBE_ARATH	O22940	reviewed	TEEBE_ARATH	Protein TEEBE
PRGC2_HUMAN	Q86YN6	reviewed	PRGC2_HUMAN	Peroxisome proliferator-activated receptor gamma coactivator 1-beta (PGC-1-beta) (PPAR-gamma coactivator 1-beta) (PPARGC-1-beta) (PGC-1-related estrogen receptor alpha coactivator)
ANS1B_HUMAN	Q7Z6G8	reviewed	ANS1B_HUMAN	Ankyrin repeat and sterile alpha motif domain-containing protein 1B (Amyloid-beta protein intracellular domain-associated protein 1) (AIDA-1) (E2A-PBX1-associated protein) (EB-1)
FOLH1_HUMAN	Q04609	reviewed	FOLH1_HUMAN	Glutamate carboxypeptidase 2 (EC 3.4.17.21) (Cell growth-inhibiting gene 27 protein) (Folate hydrolase 1) (Folylpoly-gamma-glutamate carboxypeptidase) (FGCP) (Glutamate carboxypeptidase II) (GCPII) (Membrane glutamate carboxypeptidase) (mGCP) (N-acetylated-alpha-linked acidic dipeptidase I) (NAALADase I) (Prostate-specific membrane antigen) (PSM) (PSMA) (Pteroylpoly-gamma-glutamate carboxypeptidase)
AKAP9_HUMAN	Q99996	reviewed	AKAP9_HUMAN	A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao)
TEN4_MOUSE	Q3UHK6	reviewed	TEN4_MOUSE	Teneurin-4 (Ten-4) (Downstream of CHOP4) (Protein Odd Oz/ten-m homolog 4) (Tenascin-M4) (Ten-m4) (Teneurin transmembrane protein 4)
GPX2_RAT	P83645	reviewed	GPX2_RAT	Glutathione peroxidase 2 (GPx-2) (GSHPx-2) (EC 1.11.1.9) (Glutathione peroxidase-gastrointestinal) (GPx-GI) (GSHPx-GI) (Phospholipid hydroperoxide glutathione peroxidase GPX2) (EC 1.11.1.12)
REF2P_DROME	P14199	reviewed	REF2P_DROME	Protein ref(2)P (Refractory to sigma P)
LOT1_ARATH	Q6IDA6	reviewed	LOT1_ARATH	Protein LOWER TEMPERATURE 1
CTNA2_HUMAN	P26232	reviewed	CTNA2_HUMAN	Catenin alpha-2 (Alpha N-catenin) (Alpha-catenin-related protein)
TP4A2_HUMAN	Q12974	reviewed	TP4A2_HUMAN	Protein tyrosine phosphatase type IVA 2 (EC 3.1.3.48) (HU-PP-1) (OV-1) (PTP(CAAXII)) (Protein-tyrosine phosphatase 4a2) (Protein-tyrosine phosphatase of regenerating liver 2) (PRL-2)
GRK4_HUMAN	P32298	reviewed	GRK4_HUMAN	G protein-coupled receptor kinase 4 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK4) (ITI1)
HDAC8_HUMAN	Q9BY41	reviewed	HDAC8_HUMAN	Histone deacetylase 8 (HD8) (EC 3.5.1.98) (Protein deacetylase HDAC8) (EC 3.5.1.-) (Protein decrotonylase HDAC8) (EC 3.5.1.-)
SNP25_MOUSE	P60879	reviewed	SNP25_MOUSE	Synaptosomal-associated protein 25 (SNAP-25) (Super protein) (SUP) (Synaptosomal-associated 25 kDa protein)
ABL1_MOUSE	P00520	reviewed	ABL1_MOUSE	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)
CJD1_ARATH	Q93WG3	reviewed	CJD1_ARATH	Protein CHLOROPLAST J-LIKE DOMAIN 1, chloroplastic
MACF1_MOUSE	Q9QXZ0	reviewed	MACF1_MOUSE	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4 (Actin cross-linking family 7)
PDS5D_ARATH	A8MRD9	reviewed	PDS5D_ARATH	Sister chromatid cohesion protein PDS5 homolog D (Precocious dissociation of sisters protein 5-D) (AtPDS5D)
CLAMT_ARATH	O23234	reviewed	CLAMT_ARATH	Carlactonoate CLA methyltransferase (CLA methyltransferase) (EC 2.1.1.-)
CRIM_DROME	Q9VTM6	reviewed	CRIM_DROME	UPAR/Ly6 domain-containing protein crim (Protein crimpled)
RYR3_MOUSE	A2AGL3	reviewed	RYR3_MOUSE	Ryanodine receptor 3 (RYR-3) (RyR3) (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodine receptor)
LAMA5_MOUSE	Q61001	reviewed	LAMA5_MOUSE	Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha)
LPXC2_ARATH	P0DKB7	reviewed	LPXC2_ARATH	Probable UDP-3-O-acyl-N-acetylglucosamine deacetylase 2, mitochondrial (UDP-3-O-acyl-GlcNAc deacetylase 2) (EC 3.5.1.108) (Protein LIPID X C2) (AtLpxC2) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase 2)
ESM5_DROME	P13096	reviewed	ESM5_DROME	Enhancer of split m5 protein (E(spl)m5)
GNAT1_ARATH	Q9C666	reviewed	GNAT1_ARATH	GCN5-related N-acetyltransferase 1, chloroplastic (EC 2.3.1.48) (Serotonin N-acetyl transferase 2) (AtSNAT2) (EC 2.3.1.87)
MDN1_YEAST	Q12019	reviewed	MDN1_YEAST	Midasin (Dynein-related AAA-ATPase REA1) (MIDAS-containing protein) (Ribosome export/assembly protein 1)
CGF2_ARATH	Q9SLD9	reviewed	CGF2_ARATH	Chloroplast protein FOR GROWTH AND FERTILITY 2
RL27A_CANAL	A0A1D8PFG4	reviewed	RL27A_CANAL	Large ribosomal subunit protein eL27 (60S ribosomal protein L27-A)
ATG4A_HUMAN	Q8WYN0	reviewed	ATG4A_HUMAN	Cysteine protease ATG4A (EC 3.4.22.-) (AUT-like 2 cysteine endopeptidase) (Autophagy-related cysteine endopeptidase 2) (Autophagin-2) (Autophagy-related protein 4 homolog A) (HsAPG4A) (hAPG4A)
PCA22_ARATH	F4IIS6	reviewed	PCA22_ARATH	Protein PROLINE CONTENT ALTERNATIVE 22
RED1_HUMAN	P78563	reviewed	RED1_HUMAN	Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase)
NCOA4_MOUSE	Q5U4H9	reviewed	NCOA4_MOUSE	Nuclear receptor coactivator 4 (NCoA-4) (Androgen receptor coactivator protein) (Ferritin cargo receptor NCOA4)
ODFP2_HUMAN	Q5BJF6	reviewed	ODFP2_HUMAN	Outer dense fiber protein 2 (Cenexin) (Outer dense fiber of sperm tails protein 2)
YLAT2_RAT	D3ZMM8	reviewed	YLAT2_RAT	Y+L amino acid transporter 2 (Solute carrier family 7 member 6) (y(+)L-type amino acid transporter 2) (Y+LAT2) (y+LAT-2)
ITA6_HUMAN	P23229	reviewed	ITA6_HUMAN	Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha-6 (Alpha6p)]
THYG_MOUSE	O08710	reviewed	THYG_MOUSE	Thyroglobulin (Tg)
SC31A_HUMAN	O94979	reviewed	SC31A_HUMAN	Protein transport protein Sec31A (ABP125) (ABP130) (SEC31-like protein 1) (SEC31-related protein A) (Web1-like protein)
MIC60_HUMAN	Q16891	reviewed	MIC60_HUMAN	MICOS complex subunit MIC60 (Cell proliferation-inducing gene 4/52 protein) (Mitochondrial inner membrane protein) (Mitofilin) (p87/89)
USH2A_HUMAN	O75445	reviewed	USH2A_HUMAN	Usherin (Usher syndrome type IIa protein) (Usher syndrome type-2A protein)
PKHL1_MOUSE	Q80ZA4	reviewed	PKHL1_MOUSE	Fibrocystin-L (Polycystic kidney and hepatic disease 1-like protein 1) (PKHD1-like protein 1) (Protein D86)
RA50S_XENLA	A0A1L8GVF0	reviewed	RA50S_XENLA	DNA repair protein RAD50.S (EC 3.6.-.-)
CAPR2_HUMAN	Q6IMN6	reviewed	CAPR2_HUMAN	Caprin-2 (C1q domain-containing protein 1) (Cytoplasmic activation/proliferation-associated protein 2) (Gastric cancer multidrug resistance-associated protein) (Protein EEG-1) (RNA granule protein 140)
MAP1A_MOUSE	Q9QYR6	reviewed	MAP1A_MOUSE	Microtubule-associated protein 1A (MAP-1A) [Cleaved into: MAP1A heavy chain; MAP1 light chain LC2]
TPS3_DICDI	Q86II4	reviewed	TPS3_DICDI	Terpene synthase 3 (EC 4.2.3.-) (EC 4.2.3.106) (EC 4.2.3.15)
TRIP6_HUMAN	Q15654	reviewed	TRIP6_HUMAN	Thyroid receptor-interacting protein 6 (TR-interacting protein 6) (TRIP-6) (Opa-interacting protein 1) (OIP-1) (Zyxin-related protein 1) (ZRP-1)
KOI_DROME	A0A0B4KEE4	reviewed	KOI_DROME	Klaroid protein
NSYB_DROME	Q9W0C1	reviewed	NSYB_DROME	Neuronal synaptobrevin (n-syb)
SAU12_ARATH	Q9SIG9	reviewed	SAU12_ARATH	Protein SMALL AUXIN UP-REGULATED RNA 12
GRB10_HUMAN	Q13322	reviewed	GRB10_HUMAN	Growth factor receptor-bound protein 10 (GRB10 adapter protein) (Insulin receptor-binding protein Grb-IR)
NF1_MOUSE	Q04690	reviewed	NF1_MOUSE	Neurofibromin (Neurofibromatosis-related protein NF-1)
FOSB_RAT	D3ZLB7	reviewed	FOSB_RAT	Protein FosB (Transcription factor AP-1 subunit FosB)
NF1_RAT	P97526	reviewed	NF1_RAT	Neurofibromin (Neurofibromatosis-related protein NF-1)
THOC1_DANRE	Q7SYB2	reviewed	THOC1_DANRE	THO complex subunit 1
DGCR8_HUMAN	Q8WYQ5	reviewed	DGCR8_HUMAN	Microprocessor complex subunit DGCR8 (DiGeorge syndrome critical region 8)
TPD53_HUMAN	Q16890	reviewed	TPD53_HUMAN	Tumor protein D53 (hD53) (Tumor protein D52-like 1)
TUNAR_MOUSE	A0A1B0GQX2	reviewed	TUNAR_MOUSE	Protein TUNAR (pTUNAR) (Beta cell and neural cell-regulin) (BNLN) (Tcl1 upstream neural differentiation-associated RNA)
PKP2_RAT	F1M7L9	reviewed	PKP2_RAT	Plakophilin-2
LDHA_HUMAN	P00338	reviewed	LDHA_HUMAN	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)
SPRI_DROME	Q8MQW8	reviewed	SPRI_DROME	Protein sprint (SH2 poly-proline-containing Ras-interactor protein)
ARMC8_HUMAN	Q8IUR7	reviewed	ARMC8_HUMAN	Armadillo repeat-containing protein 8
BGBP2_DROME	Q9VVR4	reviewed	BGBP2_DROME	Gram-negative bacteria-binding protein 2
E70C1_ARATH	Q9FY95	reviewed	E70C1_ARATH	Exocyst complex component EXO70C1 (AtExo70C1) (Exocyst subunit Exo70 family protein C1)
NOX5_HUMAN	Q96PH1	reviewed	NOX5_HUMAN	NADPH oxidase 5 (EC 1.6.3.-)
DHI2_HUMAN	P80365	reviewed	DHI2_HUMAN	11-beta-hydroxysteroid dehydrogenase type 2 (11-DH2) (11-beta-HSD2) (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type II) (11-HSD type II) (11-beta-HSD type II) (Corticosteroid 11-beta-dehydrogenase isozyme 2) (NAD-dependent 11-beta-hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 9C member 3)
GEM4C_DROME	Q8IRS9	reviewed	GEM4C_DROME	Gem-associated protein 4c (Gemin4c)
PCNT_HUMAN	O95613	reviewed	PCNT_HUMAN	Pericentrin (Kendrin) (Pericentrin-B)
UBE2O_HUMAN	Q9C0C9	reviewed	UBE2O_HUMAN	(E3-independent) E2 ubiquitin-conjugating enzyme (EC 2.3.2.24) (E2/E3 hybrid ubiquitin-protein ligase UBE2O) (Ubiquitin carrier protein O) (Ubiquitin-conjugating enzyme E2 O) (Ubiquitin-conjugating enzyme E2 of 230 kDa) (Ubiquitin-conjugating enzyme E2-230K) (Ubiquitin-protein ligase O)
PHYD1_HUMAN	Q5SRE7	reviewed	PHYD1_HUMAN	Phytanoyl-CoA dioxygenase domain-containing protein 1 (Protein PHYHD1) (EC 1.14.11.-)
BDBT_DROME	Q9VDE4	reviewed	BDBT_DROME	Protein Bride of doubletime
O10J5_MOUSE	Q62007	reviewed	O10J5_MOUSE	Olfactory receptor 10J5 (Olfactory receptor 16)
ITPR_DROME	P29993	reviewed	ITPR_DROME	Inositol 1,4,5-trisphosphate receptor (InsP3 receptor) (IP3R) (InsP3R)
GEM4B_DROME	Q8IRT0	reviewed	GEM4B_DROME	Gem-associated protein 4b (Gemin4b)
CHTOP_HUMAN	Q9Y3Y2	reviewed	CHTOP_HUMAN	Chromatin target of PRMT1 protein (Friend of PRMT1 protein) (Small arginine- and glycine-rich protein) (SRAG)
MICU1_HUMAN	Q9BPX6	reviewed	MICU1_HUMAN	Calcium uptake protein 1, mitochondrial (Atopy-related autoantigen CALC) (ara CALC) (Calcium-binding atopy-related autoantigen 1) (allergen Hom s 4)
DALS_SALTY	Q8ZPA3	reviewed	DALS_SALTY	ABC transporter D-alanine-binding periplasmic protein (D-alanine transporter in Salmonella)
PO2F2_MOUSE	Q00196	reviewed	PO2F2_MOUSE	POU domain, class 2, transcription factor 2 (Lymphoid-restricted immunoglobulin octamer-binding protein NF-A2) (Octamer-binding protein 2) (Oct-2) (Octamer-binding transcription factor 2) (OTF-2)
CO1A1_HUMAN	P02452	reviewed	CO1A1_HUMAN	Collagen alpha-1(I) chain (Alpha-1 type I collagen)
MADD_HUMAN	Q8WXG6	reviewed	MADD_HUMAN	MAP kinase-activating death domain protein (Differentially expressed in normal and neoplastic cells) (Insulinoma glucagonoma clone 20) (Rab3 GDP/GTP exchange factor) (RabGEF) (Rab3 GDP/GTP exchange protein) (Rab3GEP)
VPS41_DANRE	E7F590	reviewed	VPS41_DANRE	Vacuolar protein sorting-associated protein 41 homolog
TM214_HUMAN	Q6NUQ4	reviewed	TM214_HUMAN	Transmembrane protein 214
SPT13_HUMAN	Q96N96	reviewed	SPT13_HUMAN	Spermatogenesis-associated protein 13 (APC-stimulated guanine nucleotide exchange factor 2) (Asef2)
RPO4_SACS2	Q7LXK4	reviewed	RPO4_SACS2	DNA-directed RNA polymerase subunit Rpo4 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit F)
IBTK_HUMAN	Q9P2D0	reviewed	IBTK_HUMAN	Inhibitor of Bruton tyrosine kinase (IBtk)
PDZD2_RAT	Q9QZR8	reviewed	PDZD2_RAT	PDZ domain-containing protein 2 (PDZ domain-containing protein 3) (Plakophilin-related armadillo repeat protein-interacting PDZ protein) [Cleaved into: Processed PDZ domain-containing protein 2]
SCD_HUMAN	O00767	reviewed	SCD_HUMAN	Stearoyl-CoA desaturase (hSCD1) (EC 1.14.19.1) (Acyl-CoA desaturase) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase)
ANO10_HUMAN	Q9NW15	reviewed	ANO10_HUMAN	Anoctamin-10 (Transmembrane protein 16K)
BSN_MOUSE	O88737	reviewed	BSN_MOUSE	Protein bassoon
UFD4_DROME	Q9VL06	reviewed	UFD4_DROME	E3 ubiquitin-protein ligase Ufd4 (EC 2.3.2.26) (Ubiquitin fusion-degradation 4-like)
CREST_HUMAN	O75177	reviewed	CREST_HUMAN	Calcium-responsive transactivator (SS18-like protein 1) (SYT homolog 1)
RHG07_HUMAN	Q96QB1	reviewed	RHG07_HUMAN	Rho GTPase-activating protein 7 (Deleted in liver cancer 1 protein) (DLC-1) (HP protein) (Rho-type GTPase-activating protein 7) (START domain-containing protein 12) (StARD12) (StAR-related lipid transfer protein 12)
DOCK7_HUMAN	Q96N67	reviewed	DOCK7_HUMAN	Dedicator of cytokinesis protein 7
UBR4_HUMAN	Q5T4S7	reviewed	UBR4_HUMAN	E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (p600) (N-recognin-4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600)
CD20B_HUMAN	Q86Y33	reviewed	CD20B_HUMAN	Cell division cycle protein 20 homolog B
SCY2B_ARATH	Q9C9H8	reviewed	SCY2B_ARATH	SCY1-like protein 2 B (Inactive protein kinase SCYL2B)
NEMP_DROME	Q9VXD6	reviewed	NEMP_DROME	Nuclear envelope integral membrane protein
CIKS_HUMAN	O43734	reviewed	CIKS_HUMAN	E3 ubiquitin ligase TRAF3IP2 (EC 2.3.2.27) (Adapter protein CIKS) (Connection to IKK and SAPK/JNK) (E3 ubiquitin-protein ligase CIKS) (Nuclear factor NF-kappa-B activator 1) (ACT1) (TRAF3-interacting protein 2)
ITIH1_HUMAN	P19827	reviewed	ITIH1_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H1 (ITI heavy chain H1) (ITI-HC1) (Inter-alpha-inhibitor heavy chain 1) (Inter-alpha-trypsin inhibitor complex component III) (Serum-derived hyaluronan-associated protein) (SHAP)
RUNX1_HUMAN	Q01196	reviewed	RUNX1_HUMAN	Runt-related transcription factor 1 (Acute myeloid leukemia 1 protein) (Core-binding factor subunit alpha-2) (CBF-alpha-2) (Oncogene AML-1) (Polyomavirus enhancer-binding protein 2 alpha B subunit) (PEA2-alpha B) (PEBP2-alpha B) (SL3-3 enhancer factor 1 alpha B subunit) (SL3/AKV core-binding factor alpha B subunit)
CXB2_HUMAN	P29033	reviewed	CXB2_HUMAN	Gap junction beta-2 protein (Connexin-26) (Cx26)
IDH3B_HUMAN	O43837	reviewed	IDH3B_HUMAN	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Isocitric dehydrogenase subunit beta) (NAD(+)-specific ICDH subunit beta)
S18B1_RAT	D4A9K4	reviewed	S18B1_RAT	MFS-type transporter SLC18B1 (Solute carrier family 18 member B1) (Vesicular polyamine transporter) (VPAT)
HLAA_HUMAN	P04439	reviewed	HLAA_HUMAN	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)
ESPN_MOUSE	Q9ET47	reviewed	ESPN_MOUSE	Espin (Ectoplasmic specialization protein)
EF1A1_SCHPO	P0CT53	reviewed	EF1A1_SCHPO	Elongation factor 1-alpha-A (EF-1-alpha-A)
PTPA_HUMAN	Q15257	reviewed	PTPA_HUMAN	Serine/threonine-protein phosphatase 2A activator (EC 5.2.1.8) (PP2A, subunit B', PR53 isoform) (Phosphotyrosyl phosphatase activator) (PTPA) (Serine/threonine-protein phosphatase 2A regulatory subunit 4) (Serine/threonine-protein phosphatase 2A regulatory subunit B')
MUC16_HUMAN	Q8WXI7	reviewed	MUC16_HUMAN	Mucin-16 (MUC-16) (Ovarian cancer-related tumor marker CA125) (CA-125) (Ovarian carcinoma antigen CA125)
CSTN2_DANRE	B0S5G3	reviewed	CSTN2_DANRE	Calsyntenin-2
TRXR3_MOUSE	Q99MD6	reviewed	TRXR3_MOUSE	Thioredoxin reductase 3 (EC 1.8.1.9) (Thioredoxin and glutathione reductase) (Thioredoxin reductase TR2)
BOUD_DROME	Q9W3T7	reviewed	BOUD_DROME	UPAR/Ly6 domain-containing protein bou (Protein boudin)
PTPA_DROME	Q9VQQ0	reviewed	PTPA_DROME	Serine/threonine-protein phosphatase 2A activator (EC 5.2.1.8) (Phosphotyrosyl phosphatase activator) (PTPA)
MICA_HUMAN	Q29983	reviewed	MICA_HUMAN	MHC class I polypeptide-related sequence A (MIC-A)
XIRP2_MOUSE	Q4U4S6	reviewed	XIRP2_MOUSE	Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Myogenic MEF2-activated Xin-related protein) (Myomaxin) (mXinbeta)
CYT1_CANAL	A0A1D8PHA3	reviewed	CYT1_CANAL	Cytochrome b-c1 complex catalytic subunit, mitochondrial (EC 7.1.1.8) (Complex III catalytic subunit)
GBRB_DROME	P25123	reviewed	GBRB_DROME	Gamma-aminobutyric acid receptor subunit beta (GABA(A) receptor subunit beta) (Protein cyclodiene resistance)
TPA_HUMAN	P00750	reviewed	TPA_HUMAN	Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]
MEGF8_HUMAN	Q7Z7M0	reviewed	MEGF8_HUMAN	Multiple epidermal growth factor-like domains protein 8 (Multiple EGF-like domains protein 8) (Epidermal growth factor-like protein 4) (EGF-like protein 4)
HAOX1_RAT	B0BNF9	reviewed	HAOX1_RAT	2-Hydroxyacid oxidase 1 (HAOX1) (EC 1.1.3.15) (Glycolate oxidase) (GOX) (Glyoxylate oxidase) (EC 1.2.3.5)
AKP13_HUMAN	Q12802	reviewed	AKP13_HUMAN	A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47)
LSR_HUMAN	Q86X29	reviewed	LSR_HUMAN	Lipolysis-stimulated lipoprotein receptor (Angulin-1)
EPM2A_HUMAN	O95278	reviewed	EPM2A_HUMAN	Laforin (EC 3.1.3.-) (EC 3.1.3.16) (EC 3.1.3.48) (Glucan phosphatase) (Glycogen phosphatase) (Lafora PTPase) (LAFPTPase)
FSIP2_HUMAN	Q5CZC0	reviewed	FSIP2_HUMAN	Fibrous sheath-interacting protein 2
RL23A_CANAL	A0A1D8PPT5	reviewed	RL23A_CANAL	Large ribosomal subunit protein uL14 (60S ribosomal protein L23-A)
LAMA1_MOUSE	P19137	reviewed	LAMA1_MOUSE	Laminin subunit alpha-1 (Laminin A chain) (Laminin-1 subunit alpha) (Laminin-3 subunit alpha) (S-laminin subunit alpha) (S-LAM alpha)
DCA11_HUMAN	Q8TEB1	reviewed	DCA11_HUMAN	DDB1- and CUL4-associated factor 11 (WD repeat-containing protein 23)
UB2J1_HUMAN	Q9Y385	reviewed	UB2J1_HUMAN	Ubiquitin-conjugating enzyme E2 J1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J1) (Non-canonical ubiquitin-conjugating enzyme 1) (NCUBE-1) (Yeast ubiquitin-conjugating enzyme UBC6 homolog E) (HsUBC6e)
STLB_DICDI	Q54FI3	reviewed	STLB_DICDI	Polyketide synthase 37 (dipks37) [Includes: Highly reducing polyketide synthase StlB (EC 2.3.1.-); Chalcone synthase (EC 2.3.1.74) (Steely2)]
DOCK8_HUMAN	Q8NF50	reviewed	DOCK8_HUMAN	Dedicator of cytokinesis protein 8
BACE1_HUMAN	P56817	reviewed	BACE1_HUMAN	Beta-secretase 1 (EC 3.4.23.46) (Aspartyl protease 2) (ASP2) (Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)
MYPC1_HUMAN	Q00872	reviewed	MYPC1_HUMAN	Myosin-binding protein C, slow-type (Slow MyBP-C) (C-protein, skeletal muscle slow isoform)
RN19B_HUMAN	Q6ZMZ0	reviewed	RN19B_HUMAN	E3 ubiquitin-protein ligase RNF19B (EC 2.3.2.31) (IBR domain-containing protein 3) (Natural killer lytic-associated molecule) (RING finger protein 19B)
VP13C_MOUSE	Q8BX70	reviewed	VP13C_MOUSE	Intermembrane lipid transfer protein VPS13C (Vacuolar protein sorting-associated protein 13C)
OSCRI_HUMAN	C0HLS1	reviewed	OSCRI_HUMAN	SCRIB overlapping open reading frame protein (oSCRIB)
CD11B_HUMAN	P21127	reviewed	CD11B_HUMAN	Cyclin-dependent kinase 11B (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1)
SEPT4_HUMAN	O43236	reviewed	SEPT4_HUMAN	Septin-4 (Bradeion beta) (Brain protein H5) (CE5B3 beta) (Cell division control-related protein 2) (hCDCREL-2) (Peanut-like protein 2)
PHLD_HUMAN	P80108	reviewed	PHLD_HUMAN	Phosphatidylinositol-glycan-specific phospholipase D (PI-G PLD) (EC 3.1.4.50) (Glycoprotein phospholipase D) (Glycosyl-phosphatidylinositol-specific phospholipase D) (GPI-PLD) (GPI-specific phospholipase D)
BKN2_ARATH	Q9LFL6	reviewed	BKN2_ARATH	Inactive serine/threonine-protein kinase BKN2 (Protein SUPPRESSOR OF ZED1-D2) (Pseudokinase BRASSIKIN 2) (Receptor-like cytoplasmic kinase SZE2)
REC3_ARATH	F4HZK4	reviewed	REC3_ARATH	Protein REDUCED CHLOROPLAST COVERAGE 3
NBEL2_DANRE	E7FAW3	reviewed	NBEL2_DANRE	Neurobeachin-like protein 2
BRCA2_HUMAN	P51587	reviewed	BRCA2_HUMAN	Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein)
NOL9_DANRE	E7F654	reviewed	NOL9_DANRE	Polynucleotide 5'-hydroxyl-kinase NOL9 (EC 2.7.1.78) (Nucleolar protein 9)
SYNE1_HUMAN	Q8NF91	reviewed	SYNE1_HUMAN	Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1)
KCMA1_HUMAN	Q12791	reviewed	KCMA1_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (Slowpoke homolog) (Slo homolog) (hSlo)
JMJ17_ARATH	F4I240	reviewed	JMJ17_ARATH	Lysine-specific demethylase JMJ17 (EC 1.14.11.67) (Jumonji domain-containing protein 17) (AtJMJ17) (Protein JUMONJI 17) (Lysine-specific histone demethylase JMJ17) ([histone H3]-trimethyl-L-lysine(4) monodemethylase JMJ17)
DHRS4_HUMAN	Q9BTZ2	reviewed	DHRS4_HUMAN	Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase) (CR) (NADPH-dependent retinol dehydrogenase/reductase) (NRDR) (humNRDR) (Peroxisomal short-chain alcohol dehydrogenase) (PSCD) (SCAD-SRL) (Short chain dehydrogenase/reductase family 25C member 2) (Protein SDR25C2) (Short-chain dehydrogenase/reductase family member 4)
CCZ1_DROME	Q9VZL5	reviewed	CCZ1_DROME	Vacuolar fusion protein CCZ1 homolog (Caffeine-calcium-zinc sensitivity protein 1) (Dccz1)
PDUM_SALTY	Q9XDN4	reviewed	PDUM_SALTY	Bacterial microcompartment assembly protein PduM (Propanediol utilization protein PduM)
EGFR_HUMAN	P00533	reviewed	EGFR_HUMAN	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)
